[root@openshift openshift]#
[root@openshift openshift]# oc get clusterserviceclass
NAME                                   EXTERNAL-NAME                                       BROKER                    AGE
90a57c11-c2a3-11e9-a3dc-000c29aa8fab   eap72-mongodb-s2i                                   template-service-broker   33m
90a6acb9-c2a3-11e9-a3dc-000c29aa8fab   eap72-mysql-persistent-s2i                          template-service-broker   33m
90a7d842-c2a3-11e9-a3dc-000c29aa8fab   eap72-mysql-s2i                                     template-service-broker   33m
90a9031b-c2a3-11e9-a3dc-000c29aa8fab   eap72-postgresql-persistent-s2i                     template-service-broker   33m
90aa4d39-c2a3-11e9-a3dc-000c29aa8fab   eap72-postgresql-s2i                                template-service-broker   33m
90ab79eb-c2a3-11e9-a3dc-000c29aa8fab   eap72-sso-s2i                                       template-service-broker   33m
90ac8d11-c2a3-11e9-a3dc-000c29aa8fab   eap72-starter-s2i                                   template-service-broker   33m
90ada30c-c2a3-11e9-a3dc-000c29aa8fab   eap72-third-party-db-s2i                            template-service-broker   33m
90aed6b6-c2a3-11e9-a3dc-000c29aa8fab   eap72-tx-recovery-s2i                               template-service-broker   33m
90afec1a-c2a3-11e9-a3dc-000c29aa8fab   fuse73-console-cluster                              template-service-broker   33m
90b0da65-c2a3-11e9-a3dc-000c29aa8fab   fuse73-console                                      template-service-broker   32m
90b1e5e0-c2a3-11e9-a3dc-000c29aa8fab   apicurito                                           template-service-broker   33m
90b2cf87-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-basic-s2i                             template-service-broker   33m
90b4424f-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-https-s2i                             template-service-broker   33m
90b66e18-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-mongodb-persistent-s2i                template-service-broker   33m
90b78919-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-mongodb-s2i                           template-service-broker   33m
90b8a0af-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-mysql-persistent-s2i                  template-service-broker   33m
90b9c6db-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-mysql-s2i                             template-service-broker   33m
90baf1ba-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-postgresql-persistent-s2i             template-service-broker   33m
90bc1dd2-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat7-postgresql-s2i                        template-service-broker   33m
90bd40f4-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-basic-s2i                             template-service-broker   33m
90be3349-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-https-s2i                             template-service-broker   33m
90bf6bad-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-mongodb-persistent-s2i                template-service-broker   33m
90c0b308-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-mongodb-s2i                           template-service-broker   32m
90c1db34-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-mysql-persistent-s2i                  template-service-broker   33m
90c3c075-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-mysql-s2i                             template-service-broker   33m
90c54b26-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-postgresql-persistent-s2i             template-service-broker   33m
90c670ad-c2a3-11e9-a3dc-000c29aa8fab   jws31-tomcat8-postgresql-s2i                        template-service-broker   33m
90c7b133-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-karaf-camel-amq                          template-service-broker   33m
90c8ab1a-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-karaf-camel-log                          template-service-broker   33m
90c9c558-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-karaf-camel-rest-sql                     template-service-broker   33m
90cab2e5-c2a3-11e9-a3dc-000c29aa8fab   s2i-fuse73-karaf-cxf-rest                           template-service-broker   33m
90cb92c5-c2a3-11e9-a3dc-000c29aa8fab   openjdk18-web-basic-s2i                             template-service-broker   33m
90ccc518-c2a3-11e9-a3dc-000c29aa8fab   processserver64-amq-mysql-persistent-s2i            template-service-broker   33m
90ce329e-c2a3-11e9-a3dc-000c29aa8fab   processserver64-amq-mysql-s2i                       template-service-broker   33m
90d01d02-c2a3-11e9-a3dc-000c29aa8fab   processserver64-amq-postgresql-persistent-s2i       template-service-broker   33m
